pokedex_id,sprite,pokemon_name,pokemon_weight,pokemon_height,speed,special_defense,special_attack,defense,attack,hp,pokemon_type1,pokemon_type2,base_hapiness,color_group,egg_group,generation,shape
117,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/117.png"" width=""60"" >",seadra,250.0,12.0,85.0,45.0,95.0,95.0,65.0,55.0,water,,70.0,blue,dragon,generation-i,blob
118,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/118.png"" width=""60"" >",goldeen,150.0,6.0,63.0,50.0,35.0,60.0,67.0,45.0,water,,70.0,red,water2,generation-i,fish
119,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/119.png"" width=""60"" >",seaking,390.0,13.0,68.0,80.0,65.0,65.0,92.0,80.0,water,,70.0,red,water2,generation-i,fish
120,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/120.png"" width=""60"" >",staryu,345.0,8.0,85.0,55.0,70.0,55.0,45.0,30.0,water,,70.0,brown,water3,generation-i,blob
121,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/121.png"" width=""60"" >",starmie,800.0,11.0,115.0,85.0,100.0,85.0,75.0,60.0,psychic,water,70.0,purple,water3,generation-i,blob
122,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/122.png"" width=""60"" >",mr-mime,545.0,13.0,90.0,120.0,100.0,65.0,45.0,40.0,fairy,psychic,70.0,pink,humanshape,generation-i,humanoid
123,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/123.png"" width=""60"" >",scyther,560.0,15.0,105.0,80.0,55.0,80.0,110.0,70.0,flying,bug,70.0,green,bug,generation-i,bug-wings
124,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/124.png"" width=""60"" >",jynx,406.0,14.0,95.0,95.0,115.0,35.0,50.0,65.0,psychic,ice,70.0,red,humanshape,generation-i,humanoid
125,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/125.png"" width=""60"" >",electabuzz,300.0,11.0,105.0,85.0,95.0,57.0,83.0,65.0,electric,,70.0,yellow,humanshape,generation-i,upright
126,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/126.png"" width=""60"" >",magmar,445.0,13.0,93.0,85.0,100.0,57.0,95.0,65.0,fire,,70.0,red,humanshape,generation-i,upright
127,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/127.png"" width=""60"" >",pinsir,550.0,15.0,85.0,70.0,55.0,100.0,125.0,65.0,bug,,70.0,brown,bug,generation-i,humanoid
128,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/128.png"" width=""60"" >",tauros,884.0,14.0,110.0,70.0,40.0,95.0,100.0,75.0,normal,,70.0,brown,ground,generation-i,quadruped
129,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/129.png"" width=""60"" >",magikarp,100.0,9.0,80.0,20.0,15.0,55.0,10.0,20.0,water,,70.0,red,dragon,generation-i,fish
130,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/130.png"" width=""60"" >",gyarados,2350.0,65.0,81.0,100.0,60.0,79.0,125.0,95.0,flying,water,70.0,blue,dragon,generation-i,squiggle
131,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/131.png"" width=""60"" >",lapras,2200.0,25.0,60.0,95.0,85.0,80.0,85.0,130.0,ice,water,70.0,blue,water1,generation-i,fish
132,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/132.png"" width=""60"" >",ditto,40.0,3.0,48.0,48.0,48.0,48.0,48.0,48.0,normal,,70.0,purple,ditto,generation-i,ball
133,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/133.png"" width=""60"" >",eevee,65.0,3.0,55.0,65.0,45.0,50.0,55.0,55.0,normal,,70.0,brown,ground,generation-i,quadruped
134,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/134.png"" width=""60"" >",vaporeon,290.0,10.0,65.0,95.0,110.0,60.0,65.0,130.0,water,,70.0,blue,ground,generation-i,quadruped
135,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/135.png"" width=""60"" >",jolteon,245.0,8.0,130.0,95.0,110.0,60.0,65.0,65.0,electric,,70.0,yellow,ground,generation-i,quadruped
136,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/136.png"" width=""60"" >",flareon,250.0,9.0,65.0,110.0,95.0,60.0,130.0,65.0,fire,,70.0,red,ground,generation-i,quadruped
137,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/137.png"" width=""60"" >",porygon,365.0,8.0,40.0,75.0,85.0,70.0,60.0,65.0,normal,,70.0,pink,mineral,generation-i,legs
138,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/138.png"" width=""60"" >",omanyte,75.0,4.0,35.0,55.0,90.0,100.0,40.0,35.0,water,rock,70.0,blue,water3,generation-i,tentacles
139,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/139.png"" width=""60"" >",omastar,350.0,10.0,55.0,70.0,115.0,125.0,60.0,70.0,water,rock,70.0,blue,water3,generation-i,tentacles
140,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/140.png"" width=""60"" >",kabuto,115.0,5.0,55.0,45.0,55.0,90.0,80.0,30.0,water,rock,70.0,brown,water3,generation-i,armor
141,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/141.png"" width=""60"" >",kabutops,405.0,13.0,80.0,70.0,65.0,105.0,115.0,60.0,water,rock,70.0,brown,water3,generation-i,upright
142,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/142.png"" width=""60"" >",aerodactyl,590.0,18.0,130.0,75.0,60.0,65.0,105.0,80.0,flying,rock,70.0,purple,flying,generation-i,wings
143,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/143.png"" width=""60"" >",snorlax,4600.0,21.0,30.0,110.0,65.0,65.0,110.0,160.0,normal,,70.0,black,monster,generation-i,humanoid
144,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/144.png"" width=""60"" >",articuno,554.0,17.0,85.0,125.0,95.0,100.0,85.0,90.0,flying,ice,35.0,blue,no-eggs,generation-i,wings
145,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/145.png"" width=""60"" >",zapdos,526.0,16.0,100.0,90.0,125.0,85.0,90.0,90.0,flying,electric,35.0,yellow,no-eggs,generation-i,wings
146,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/146.png"" width=""60"" >",moltres,600.0,20.0,90.0,85.0,125.0,90.0,100.0,90.0,flying,fire,35.0,yellow,no-eggs,generation-i,wings
147,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/147.png"" width=""60"" >",dratini,33.0,18.0,50.0,50.0,50.0,45.0,64.0,41.0,dragon,,35.0,blue,dragon,generation-i,squiggle
148,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/148.png"" width=""60"" >",dragonair,165.0,40.0,70.0,70.0,70.0,65.0,84.0,61.0,dragon,,35.0,blue,dragon,generation-i,squiggle
149,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/149.png"" width=""60"" >",dragonite,2100.0,22.0,80.0,100.0,100.0,95.0,134.0,91.0,flying,dragon,35.0,brown,dragon,generation-i,upright
150,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/150.png"" width=""60"" >",mewtwo,1220.0,20.0,130.0,90.0,154.0,90.0,110.0,106.0,psychic,,0.0,purple,no-eggs,generation-i,upright
151,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/151.png"" width=""60"" >",mew,40.0,4.0,100.0,100.0,100.0,100.0,100.0,100.0,psychic,,100.0,pink,no-eggs,generation-i,upright
152,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/152.png"" width=""60"" >",chikorita,64.0,9.0,45.0,65.0,49.0,65.0,49.0,45.0,grass,,70.0,green,plant,generation-ii,quadruped
153,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/153.png"" width=""60"" >",bayleef,158.0,12.0,60.0,80.0,63.0,80.0,62.0,60.0,grass,,70.0,green,plant,generation-ii,quadruped
154,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/154.png"" width=""60"" >",meganium,1005.0,18.0,80.0,100.0,83.0,100.0,82.0,80.0,grass,,70.0,green,plant,generation-ii,quadruped
155,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/155.png"" width=""60"" >",cyndaquil,79.0,5.0,65.0,50.0,60.0,43.0,52.0,39.0,fire,,70.0,yellow,ground,generation-ii,humanoid
156,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/156.png"" width=""60"" >",quilava,190.0,9.0,80.0,65.0,80.0,58.0,64.0,58.0,fire,,70.0,yellow,ground,generation-ii,quadruped
157,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/157.png"" width=""60"" >",typhlosion,795.0,17.0,100.0,85.0,109.0,78.0,84.0,78.0,fire,,70.0,yellow,ground,generation-ii,quadruped
158,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/158.png"" width=""60"" >",totodile,95.0,6.0,43.0,48.0,44.0,64.0,65.0,50.0,water,,70.0,blue,water1,generation-ii,upright
159,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/159.png"" width=""60"" >",croconaw,250.0,11.0,58.0,63.0,59.0,80.0,80.0,65.0,water,,70.0,blue,water1,generation-ii,upright
160,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/160.png"" width=""60"" >",feraligatr,888.0,23.0,78.0,83.0,79.0,100.0,105.0,85.0,water,,70.0,blue,water1,generation-ii,upright
161,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/161.png"" width=""60"" >",sentret,60.0,8.0,20.0,45.0,35.0,34.0,46.0,35.0,normal,,70.0,brown,ground,generation-ii,quadruped
162,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/162.png"" width=""60"" >",furret,325.0,18.0,90.0,55.0,45.0,64.0,76.0,85.0,normal,,70.0,brown,ground,generation-ii,quadruped
163,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/163.png"" width=""60"" >",hoothoot,212.0,7.0,50.0,56.0,36.0,30.0,30.0,60.0,flying,normal,70.0,brown,flying,generation-ii,wings
164,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/164.png"" width=""60"" >",noctowl,408.0,16.0,70.0,96.0,86.0,50.0,50.0,100.0,flying,normal,70.0,brown,flying,generation-ii,wings
165,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/165.png"" width=""60"" >",ledyba,108.0,10.0,55.0,80.0,40.0,30.0,20.0,40.0,flying,bug,70.0,red,bug,generation-ii,wings
166,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/166.png"" width=""60"" >",ledian,356.0,14.0,85.0,110.0,55.0,50.0,35.0,55.0,flying,bug,70.0,red,bug,generation-ii,wings
167,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/167.png"" width=""60"" >",spinarak,85.0,5.0,30.0,40.0,40.0,40.0,60.0,40.0,poison,bug,70.0,green,bug,generation-ii,armor
168,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/168.png"" width=""60"" >",ariados,335.0,11.0,40.0,70.0,60.0,70.0,90.0,70.0,poison,bug,70.0,red,bug,generation-ii,armor
169,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/169.png"" width=""60"" >",crobat,750.0,18.0,130.0,80.0,70.0,80.0,90.0,85.0,flying,poison,70.0,purple,flying,generation-ii,bug-wings
170,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/170.png"" width=""60"" >",chinchou,120.0,5.0,67.0,56.0,56.0,38.0,38.0,75.0,electric,water,70.0,blue,water2,generation-ii,fish
171,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/171.png"" width=""60"" >",lanturn,225.0,12.0,67.0,76.0,76.0,58.0,58.0,125.0,electric,water,70.0,blue,water2,generation-ii,fish
172,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/172.png"" width=""60"" >",pichu,20.0,3.0,60.0,35.0,35.0,15.0,40.0,20.0,electric,,70.0,yellow,no-eggs,generation-ii,quadruped
173,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/173.png"" width=""60"" >",cleffa,30.0,3.0,15.0,55.0,45.0,28.0,25.0,50.0,fairy,,140.0,pink,no-eggs,generation-ii,upright
174,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/174.png"" width=""60"" >",igglybuff,10.0,3.0,15.0,20.0,40.0,15.0,30.0,90.0,fairy,normal,70.0,pink,no-eggs,generation-ii,humanoid
175,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/175.png"" width=""60"" >",togepi,15.0,3.0,20.0,65.0,40.0,65.0,20.0,35.0,fairy,,70.0,white,no-eggs,generation-ii,humanoid
176,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/176.png"" width=""60"" >",togetic,32.0,6.0,40.0,105.0,80.0,85.0,40.0,55.0,flying,fairy,70.0,white,fairy,generation-ii,humanoid
177,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/177.png"" width=""60"" >",natu,20.0,2.0,70.0,45.0,70.0,45.0,50.0,40.0,flying,psychic,70.0,green,flying,generation-ii,wings
178,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/178.png"" width=""60"" >",xatu,150.0,15.0,95.0,70.0,95.0,70.0,75.0,65.0,flying,psychic,70.0,green,flying,generation-ii,wings
179,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/179.png"" width=""60"" >",mareep,78.0,6.0,35.0,45.0,65.0,40.0,40.0,55.0,electric,,70.0,white,ground,generation-ii,quadruped
180,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/180.png"" width=""60"" >",flaaffy,133.0,8.0,45.0,60.0,80.0,55.0,55.0,70.0,electric,,70.0,pink,ground,generation-ii,upright
181,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/181.png"" width=""60"" >",ampharos,615.0,14.0,55.0,90.0,115.0,85.0,75.0,90.0,electric,,70.0,yellow,ground,generation-ii,upright
182,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/182.png"" width=""60"" >",bellossom,58.0,4.0,50.0,100.0,90.0,95.0,80.0,75.0,grass,,70.0,green,plant,generation-ii,humanoid
183,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/183.png"" width=""60"" >",marill,85.0,4.0,40.0,50.0,20.0,50.0,20.0,70.0,fairy,water,70.0,blue,fairy,generation-ii,upright
184,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/184.png"" width=""60"" >",azumarill,285.0,8.0,50.0,80.0,60.0,80.0,50.0,100.0,fairy,water,70.0,blue,fairy,generation-ii,upright
185,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/185.png"" width=""60"" >",sudowoodo,380.0,12.0,30.0,65.0,30.0,115.0,100.0,70.0,rock,,70.0,brown,mineral,generation-ii,humanoid
186,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/186.png"" width=""60"" >",politoed,339.0,11.0,70.0,100.0,90.0,75.0,75.0,90.0,water,,70.0,green,water1,generation-ii,humanoid
187,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/187.png"" width=""60"" >",hoppip,5.0,4.0,50.0,55.0,35.0,40.0,35.0,35.0,flying,grass,70.0,pink,plant,generation-ii,upright
188,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/188.png"" width=""60"" >",skiploom,10.0,6.0,80.0,65.0,45.0,50.0,45.0,55.0,flying,grass,70.0,green,plant,generation-ii,upright
189,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/189.png"" width=""60"" >",jumpluff,30.0,8.0,110.0,95.0,55.0,70.0,55.0,75.0,flying,grass,70.0,blue,plant,generation-ii,upright
190,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/190.png"" width=""60"" >",aipom,115.0,8.0,85.0,55.0,40.0,55.0,70.0,55.0,normal,,70.0,purple,ground,generation-ii,upright
191,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/191.png"" width=""60"" >",sunkern,18.0,3.0,30.0,30.0,30.0,30.0,30.0,30.0,grass,,70.0,yellow,plant,generation-ii,ball
192,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/192.png"" width=""60"" >",sunflora,85.0,8.0,30.0,85.0,105.0,55.0,75.0,75.0,grass,,70.0,yellow,plant,generation-ii,humanoid
193,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/193.png"" width=""60"" >",yanma,380.0,12.0,95.0,45.0,75.0,45.0,65.0,65.0,flying,bug,70.0,red,bug,generation-ii,bug-wings
194,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/194.png"" width=""60"" >",wooper,85.0,4.0,15.0,25.0,25.0,45.0,45.0,55.0,ground,water,70.0,blue,ground,generation-ii,legs
195,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/195.png"" width=""60"" >",quagsire,750.0,14.0,35.0,65.0,65.0,85.0,85.0,95.0,ground,water,70.0,blue,ground,generation-ii,upright
196,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/196.png"" width=""60"" >",espeon,265.0,9.0,110.0,95.0,130.0,60.0,65.0,65.0,psychic,,70.0,purple,ground,generation-ii,quadruped
197,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/197.png"" width=""60"" >",umbreon,270.0,10.0,65.0,130.0,60.0,110.0,65.0,95.0,dark,,35.0,black,ground,generation-ii,quadruped
198,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/198.png"" width=""60"" >",murkrow,21.0,5.0,91.0,42.0,85.0,42.0,85.0,60.0,flying,dark,35.0,black,flying,generation-ii,wings
199,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/199.png"" width=""60"" >",slowking,795.0,20.0,30.0,110.0,100.0,80.0,75.0,95.0,psychic,water,70.0,pink,water1,generation-ii,upright
200,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/200.png"" width=""60"" >",misdreavus,10.0,7.0,85.0,85.0,85.0,60.0,60.0,60.0,ghost,,35.0,gray,indeterminate,generation-ii,ball
201,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/201.png"" width=""60"" >",unown,50.0,5.0,48.0,48.0,72.0,48.0,72.0,48.0,psychic,,70.0,black,no-eggs,generation-ii,ball
202,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/202.png"" width=""60"" >",wobbuffet,285.0,13.0,33.0,58.0,33.0,58.0,33.0,190.0,psychic,,70.0,blue,indeterminate,generation-ii,blob
203,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/203.png"" width=""60"" >",girafarig,415.0,15.0,85.0,65.0,90.0,65.0,80.0,70.0,psychic,normal,70.0,yellow,ground,generation-ii,quadruped
204,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/204.png"" width=""60"" >",pineco,72.0,6.0,15.0,35.0,35.0,90.0,65.0,50.0,bug,,70.0,gray,bug,generation-ii,ball
205,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/205.png"" width=""60"" >",forretress,1258.0,12.0,40.0,60.0,60.0,140.0,90.0,75.0,steel,bug,70.0,purple,bug,generation-ii,ball
206,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/206.png"" width=""60"" >",dunsparce,140.0,15.0,45.0,65.0,65.0,70.0,70.0,100.0,normal,,70.0,yellow,ground,generation-ii,squiggle
207,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/207.png"" width=""60"" >",gligar,648.0,11.0,85.0,65.0,35.0,105.0,75.0,65.0,flying,ground,70.0,purple,bug,generation-ii,wings
208,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/208.png"" width=""60"" >",steelix,4000.0,92.0,30.0,65.0,55.0,200.0,85.0,75.0,ground,steel,70.0,gray,mineral,generation-ii,squiggle
209,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/209.png"" width=""60"" >",snubbull,78.0,6.0,30.0,40.0,40.0,50.0,80.0,60.0,fairy,,70.0,pink,fairy,generation-ii,humanoid
210,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/210.png"" width=""60"" >",granbull,487.0,14.0,45.0,60.0,60.0,75.0,120.0,90.0,fairy,,70.0,purple,fairy,generation-ii,upright
211,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/211.png"" width=""60"" >",qwilfish,39.0,5.0,85.0,55.0,55.0,85.0,95.0,65.0,poison,water,70.0,gray,water2,generation-ii,fish
212,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/212.png"" width=""60"" >",scizor,1180.0,18.0,65.0,80.0,55.0,100.0,130.0,70.0,steel,bug,70.0,red,bug,generation-ii,bug-wings
213,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/213.png"" width=""60"" >",shuckle,205.0,6.0,5.0,230.0,10.0,230.0,10.0,20.0,rock,bug,70.0,yellow,bug,generation-ii,armor
214,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/214.png"" width=""60"" >",heracross,540.0,15.0,85.0,95.0,40.0,75.0,125.0,80.0,fighting,bug,70.0,blue,bug,generation-ii,humanoid
215,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/215.png"" width=""60"" >",sneasel,280.0,9.0,115.0,75.0,35.0,55.0,95.0,55.0,ice,dark,35.0,black,ground,generation-ii,upright
216,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/216.png"" width=""60"" >",teddiursa,88.0,6.0,40.0,50.0,50.0,50.0,80.0,60.0,normal,,70.0,brown,ground,generation-ii,upright
217,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/217.png"" width=""60"" >",ursaring,1258.0,18.0,55.0,75.0,75.0,75.0,130.0,90.0,normal,,70.0,brown,ground,generation-ii,upright
218,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/218.png"" width=""60"" >",slugma,350.0,7.0,20.0,40.0,70.0,40.0,40.0,40.0,fire,,70.0,red,indeterminate,generation-ii,squiggle
219,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/219.png"" width=""60"" >",magcargo,550.0,8.0,30.0,80.0,90.0,120.0,50.0,60.0,rock,fire,70.0,red,indeterminate,generation-ii,squiggle
220,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/220.png"" width=""60"" >",swinub,65.0,4.0,50.0,30.0,30.0,40.0,50.0,50.0,ground,ice,70.0,brown,ground,generation-ii,quadruped
221,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/221.png"" width=""60"" >",piloswine,558.0,11.0,50.0,60.0,60.0,80.0,100.0,100.0,ground,ice,70.0,brown,ground,generation-ii,quadruped
222,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/222.png"" width=""60"" >",corsola,50.0,6.0,35.0,95.0,65.0,95.0,55.0,65.0,rock,water,70.0,pink,water3,generation-ii,armor
223,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/223.png"" width=""60"" >",remoraid,120.0,6.0,65.0,35.0,65.0,35.0,65.0,35.0,water,,70.0,gray,water2,generation-ii,fish
224,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/224.png"" width=""60"" >",octillery,285.0,9.0,45.0,75.0,105.0,75.0,105.0,75.0,water,,70.0,red,water2,generation-ii,tentacles
225,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/225.png"" width=""60"" >",delibird,160.0,9.0,75.0,45.0,65.0,45.0,55.0,45.0,flying,ice,70.0,red,ground,generation-ii,wings
226,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/226.png"" width=""60"" >",mantine,2200.0,21.0,70.0,140.0,80.0,70.0,40.0,85.0,flying,water,70.0,purple,water1,generation-ii,wings
227,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/227.png"" width=""60"" >",skarmory,505.0,17.0,70.0,70.0,40.0,140.0,80.0,65.0,flying,steel,70.0,gray,flying,generation-ii,wings
228,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/228.png"" width=""60"" >",houndour,108.0,6.0,65.0,50.0,80.0,30.0,60.0,45.0,fire,dark,35.0,black,ground,generation-ii,quadruped
229,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/229.png"" width=""60"" >",houndoom,350.0,14.0,95.0,80.0,110.0,50.0,90.0,75.0,fire,dark,35.0,black,ground,generation-ii,quadruped
230,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/230.png"" width=""60"" >",kingdra,1520.0,18.0,85.0,95.0,95.0,95.0,95.0,75.0,dragon,water,70.0,blue,dragon,generation-ii,blob
231,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/231.png"" width=""60"" >",phanpy,335.0,5.0,40.0,40.0,40.0,60.0,60.0,90.0,ground,,70.0,blue,ground,generation-ii,quadruped
232,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/232.png"" width=""60"" >",donphan,1200.0,11.0,50.0,60.0,60.0,120.0,120.0,90.0,ground,,70.0,gray,ground,generation-ii,quadruped
233,"<img src=""https://raw.githubusercontent.com/PokeAPI/sprites/master/sprites/pokemon/233.png"" width=""60"" >",porygon2,325.0,6.0,60.0,95.0,105.0,90.0,80.0,85.0,normal,,70.0,red,mineral,generation-ii,legs
